Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57341045,"The Hunger of the Gods (The Bloodsworn Saga, #2)",John Gwynne,"Gwynne, John",,"=""0356514226""","=""9780356514222""",4.0,Orbit,Hardcover,633,2022,2022,2023/03/21,2023/03/01,,,read,,,,1,0
60652997,"Hell Bent (Alex Stern, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""1250313104""","=""9781250313102""",4.0,Flatiron Books,Hardcover,481,2023,2023,2023/03/01,2023/01/18,,,read,,,,1,0
55277083,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,"Gwynne, John",,"=""0316539880""","=""9780316539883""",5.0,Orbit,Paperback,496,2021,2021,2023/02/20,2021/05/29,,,read,,,,1,0
56326737,"Constance (Constance, #1)",Matthew FitzSimmons,"FitzSimmons, Matthew",,"=""154201428X""","=""9781542014281""",4.0,Thomas & Mercer,Kindle Edition,343,2021,2021,2023/01/15,2021/09/01,,,read,,,,1,0
60806778,The Deluge,Stephen Markley,"Markley, Stephen",,"=""1982123095""","=""9781982123093""",0,Simon & Schuster,Hardcover,896,2023,2023,,2023/01/02,to-read,to-read (#93),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",5.0,Knopf,Hardcover,259,2022,2022,2022/12/29,2022/12/04,,,read,,,,1,0
60293362,Primitives,Erich Krauss,"Krauss, Erich",,"=""1628601337""","=""9781628601336""",3.0,Briar Road Books ,Hardcover,424,2022,2022,2022/12/04,2022/10/26,,,read,,,,1,0
58725025,"Ordinary Monsters (The Talents Trilogy, #1)",J.M. Miro,"Miro, J.M.",,"=""1250833663""","=""9781250833662""",3.0,Flatiron Books,Hardcover,672,2022,2022,2022/10/26,2022/05/29,,,read,,,,1,0
59838811,Upgrade,Blake Crouch,"Crouch, Blake",,"=""0593157532""","=""9780593157534""",3.0,Ballantine Books,Hardcover,352,2022,2022,2022/08/27,2022/05/29,,,read,,,,1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",4.0,Orbit,Paperback,468,2015,2015,2022/08/09,2022/06/18,,,read,,,,1,0
57693406,The Kaiju Preservation Society,John Scalzi,"Scalzi, John",,"=""0765389126""","=""9780765389121""",4.0,Tor Books,Hardcover,264,2022,2022,2022/06/18,2021/12/28,,,read,,,,1,0
41637112,A Half-Built Garden,Ruthanna Emrys,"Emrys, Ruthanna",,"=""1250210976""","=""9781250210975""",0,Tordotcom,Kindle Edition,347,2022,2022,,2022/05/29,to-read,to-read (#92),to-read,,,,0,0
58724626,"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,"Kingfisher, T.",,"=""1250830753""","=""9781250830753""",0,Tor Nightfire,Hardcover,165,2022,2022,,2022/05/29,to-read,to-read (#91),to-read,,,,0,0
58724923,Hidden Pictures,Jason Rekulak,"Rekulak, Jason",,"=""1250819342""","=""9781250819345""",0,Flatiron Books,Hardcover,372,2022,2022,,2022/05/29,to-read,to-read (#90),to-read,,,,0,0
53288434,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,"=""0778311015""","=""9780778311010""",3.0,Park Row,Hardcover,301,2021,2021,2022/05/17,2022/05/03,,,read,,,,1,0
